n_moves	norm_mut_info	n_clusters	random_sampling	greedy	optimality_decrease
0	0.2110412110492571	2	True	True	0.95
1	0.5433142882204706	3	True	True	0.95
2	0.7142830964258505	4	True	True	0.95
3	0.8082723784269921	5	True	True	0.95
4	0.8429272304235246	6	True	True	0.95
5	0.8660254037844387	5	True	True	0.95
7	0.8532381694557266	6	True	False	0.95
8	0.8442300075170976	7	True	False	0.95
9	0.8357883775378525	8	True	False	0.95
10	0.8261392751227711	9	True	False	0.95
11	0.8156406751060395	10	True	False	0.95
12	0.7529989032565164	9	True	False	0.95
13	0.7477820063488292	10	True	False	0.95
14	0.7425133410582246	11	True	False	0.95
15	0.7364366835881646	12	True	False	0.95
16	0.7342784958728863	13	True	False	0.95
17	0.7902983345354301	14	True	False	0.99
18	0.794827685826724	15	True	False	0.99
19	0.7902983345354303	14	True	False	0.99
20	0.7931217872137157	15	True	False	0.99
21	0.7972543061178095	14	True	False	0.99
22	0.7932741308709303	15	True	False	0.99
23	0.794364663863554	14	True	False	0.99
24	0.8013094186984103	13	True	False	0.99
25	0.8076776937775261	14	True	False	0.99
26	0.8057465874535381	15	True	False	0.99
27	0.809281218429511	16	True	False	0.998
28	0.8151484628329646	15	True	False	0.998
29	0.8149694460864328	14	True	False	0.998
30	0.813959832995714	15	True	False	0.998
31	0.8241986778261581	14	True	False	0.998
32	0.8237945640316384	15	True	False	0.998
33	0.8168237179342119	16	True	False	0.998
34	0.8248153724182447	15	True	False	0.998
35	0.8242110212383104	14	True	False	0.998
36	0.8180851652849451	15	True	False	0.998
38	0.8506274714327395	16	False		
39	0.8656728274856006	15	False		
40	0.8773688809411665	14	False		
41	0.8862820643156576	13	False		
42	0.8934645509067829	12	False		
43	0.9015604344795297	11	False		
44	0.9090345808393869	12	False		
