n_moves	norm_mut_info	n_clusters	random_sampling	greedy	optimality_decrease
0	0.5347749293292317	2	True	True	0.95
1	0.5623346221814487	3	True	True	0.95
2	0.5733787496797027	4	True	True	0.95
3	0.5841522342354554	5	True	True	0.95
4	0.6720677611461698	6	True	True	0.95
5	0.7373315027052048	7	True	True	0.95
6	0.7776760614083519	8	True	True	0.95
8	0.7796276099546419	9	True	False	0.95
9	0.7327219781581762	10	True	False	0.95
10	0.7796276099546418	9	True	False	0.95
11	0.7659790627176519	10	True	False	0.95
12	0.6890651238631965	9	True	False	0.95
13	0.6539879567296102	8	True	False	0.95
14	0.6325000700801681	9	True	False	0.95
15	0.6240598300618253	10	True	False	0.95
16	0.6325000700801681	9	True	False	0.95
17	0.6300587051492496	8	True	False	0.95
18	0.6675006636508775	9	True	False	0.99
19	0.6508884383222705	10	True	False	0.99
20	0.6675006636508776	9	True	False	0.99
21	0.6567986610234031	10	True	False	0.99
22	0.6416556158813576	11	True	False	0.99
23	0.6567986610234031	10	True	False	0.99
24	0.6896771423414754	11	True	False	0.99
25	0.7205699416830121	12	True	False	0.99
26	0.7166141689013276	13	True	False	0.99
27	0.7275065219891036	12	True	False	0.99
28	0.7234216836199687	13	True	False	0.998
29	0.7348804041734792	12	True	False	0.998
30	0.7556468679680864	11	True	False	0.998
31	0.7854307399451919	12	True	False	0.998
32	0.787519084225674	13	True	False	0.998
33	0.8042664913023677	14	True	False	0.998
34	0.8063450139522217	15	True	False	0.998
35	0.8064715752325297	16	True	False	0.998
36	0.8063450139522221	15	True	False	0.998
37	0.8042664913023676	14	True	False	0.998
39	0.8317305840238958	15	False		
40	0.8498637212443498	16	False		
41	0.8676304455499518	17	False		
42	0.8718557757575961	16	False		
43	0.8761434450273421	15	False		
44	0.8778070330669541	16	False		
45	0.8950604559687272	17	False		
46	0.8961901288614268	16	False		
47	0.8973908165909009	15	False		
48	0.8986656803994562	14	False		
