,ly_eq_angle_x,ly_eq_angle_y,ly_eq_daylight_x,ly_eq_daylight_y,ly_dendrogram_ladderized_x,ly_dendrogram_ladderized_y
root,0.0,0.0,0.0,0.0,-0.95,-5.551115123125783e-17
internal_0,-1.4358496910653586e-17,-0.0781640166,9.859025361266417e-05,-0.07816395442278344,-0.7794714358805716,-0.48253968253968255
internal_1,-0.08266465695876156,-0.16082867355876151,-0.08371452543082926,-0.15966397073864558,-0.524421550540314,-0.7238095238095238
internal_2,-0.1841987709059168,-0.2028854805992084,-0.1871595765535376,-0.19677290108824663,-0.2846559335620463,-0.8444444444444444
internal_3,-0.3240266733472513,-0.23069897969954614,-0.32971428437955735,-0.19487861758623498,0.026379717153014792,-0.9047619047619048
internal_4,-0.4658736405301765,-0.24466968655935006,-0.4612666126388755,-0.14001763255398245,0.3373412148803203,-0.9349206349206349
Cell111011,-0.6078361672240556,-0.2516438582811343,-0.5789482266471885,-0.06031169939393645,0.6474309781208676,-0.95
Cell111010,-0.5486882816689768,-0.25695407813530785,-0.5423620729773189,-0.11921625337288727,0.5199928635400937,-0.9198412698412698
internal_5,-0.4289776013154139,-0.2625354956402013,-0.43932061781513987,-0.1910429039074073,0.2656516121111876,-0.8746031746031746
Cell111000,-0.5581957739934289,-0.29490296291579243,-0.5661202895366108,-0.15021604584302783,0.556273376614536,-0.8896825396825396
Cell111001,-0.5088725988389302,-0.29112238285852515,-0.5240955452807561,-0.18735069273856167,0.4507783737932809,-0.8595238095238095
internal_6,-0.35532494281783567,-0.3172283330596582,-0.3560823878317179,-0.31434644595228517,0.16435851957178693,-0.7841269841269841
internal_7,-0.5026536946355628,-0.39597719155196376,-0.5194255899036951,-0.3493627587633712,0.528816917892839,-0.8142857142857143
Cell111110,-0.6771731858054256,-0.47851876358178513,-0.6788037004860246,-0.24041882006759618,0.95,-0.8293650793650793
Cell111111,-0.6409331175496741,-0.4788586880495297,-0.6797968551024074,-0.3658430063859035,0.8805376179648636,-0.7992063492063491
internal_8,-0.45485678011245184,-0.3989120009395587,-0.45714880738853936,-0.39412355464594734,0.4452683392698715,-0.753968253968254
