vertInd	nodeInd	vertName
0	-1	root
1	64	internal_0
2	65	internal_1
3	66	internal_2
4	67	internal_3
5	68	internal_4
6	59	Cell111011
7	58	Cell111010
8	69	internal_5
9	56	Cell111000
10	57	Cell111001
11	70	internal_6
12	71	internal_7
13	62	Cell111110
14	63	Cell111111
15	72	internal_8
16	61	Cell111101
17	60	Cell111100
18	73	internal_9
19	74	internal_10
20	75	internal_11
21	50	Cell110010
22	51	Cell110011
23	76	internal_12
24	48	Cell110000
25	49	Cell110001
26	77	internal_13
27	78	internal_14
28	52	Cell110100
29	53	Cell110101
30	79	internal_15
31	54	Cell110110
32	55	Cell110111
33	80	internal_16
34	81	internal_17
35	82	internal_18
36	83	internal_19
37	36	Cell100100
38	37	Cell100101
39	84	internal_20
40	39	Cell100111
41	38	Cell100110
42	85	internal_21
43	86	internal_22
44	32	Cell100000
45	33	Cell100001
46	87	internal_23
47	34	Cell100010
48	35	Cell100011
49	88	internal_24
50	89	internal_25
51	90	internal_26
52	41	Cell101001
53	40	Cell101000
54	91	internal_27
55	42	Cell101010
56	43	Cell101011
57	92	internal_28
58	93	internal_29
59	44	Cell101100
60	45	Cell101101
61	94	internal_30
62	46	Cell101110
63	47	Cell101111
64	95	internal_31
65	96	internal_32
66	97	internal_33
67	98	internal_34
68	99	internal_35
69	4	Cell000100
70	5	Cell000101
71	100	internal_36
72	6	Cell000110
73	7	Cell000111
74	101	internal_37
75	102	internal_38
76	2	Cell000010
77	3	Cell000011
78	103	internal_39
79	1	Cell000001
80	0	Cell000000
81	104	internal_40
82	105	internal_41
83	106	internal_42
84	14	Cell001110
85	15	Cell001111
86	107	internal_43
87	12	Cell001100
88	13	Cell001101
89	108	internal_44
90	109	internal_45
91	9	Cell001001
92	8	Cell001000
93	110	internal_46
94	10	Cell001010
95	11	Cell001011
96	111	internal_47
97	112	internal_48
98	113	internal_49
99	114	internal_50
100	19	Cell010011
101	18	Cell010010
102	115	internal_51
103	16	Cell010000
104	17	Cell010001
105	116	internal_52
106	117	internal_53
107	22	Cell010110
108	23	Cell010111
109	118	internal_54
110	20	Cell010100
111	21	Cell010101
112	119	internal_55
113	120	internal_56
114	121	internal_57
115	25	Cell011001
116	24	Cell011000
117	122	internal_58
118	26	Cell011010
119	27	Cell011011
120	123	internal_59
121	124	internal_60
122	31	Cell011111
123	30	Cell011110
124	125	internal_61
125	28	Cell011100
126	29	Cell011101
