vertInd	nodeInd	vertName
0	-1	root
1	64	internal_0
2	65	internal_1
3	66	internal_2
4	67	internal_3
5	68	internal_4
6	59	Cell111011
7	58	Cell111010
8	69	internal_5
9	56	Cell111000
10	57	Cell111001
11	70	internal_6
12	71	internal_7
13	62	Cell111110
14	63	Cell111111
15	72	internal_8
16	61	Cell111101
17	60	Cell111100
18	73	internal_9
19	74	internal_10
20	75	internal_11
21	50	Cell110010
22	51	Cell110011
23	76	internal_12
24	48	Cell110000
25	49	Cell110001
26	77	internal_13
27	78	internal_14
28	52	Cell110100
29	53	Cell110101
30	79	internal_15
31	54	Cell110110
32	55	Cell110111
33	80	internal_16
34	81	internal_17
35	82	internal_18
36	83	internal_19
37	36	Cell100100
38	37	Cell100101
39	84	internal_20
40	39	Cell100111
41	38	Cell100110
42	85	internal_21
43	86	internal_22
44	32	Cell100000
45	33	Cell100001
46	87	internal_23
47	34	Cell100010
48	35	Cell100011
49	88	internal_24
50	89	internal_25
51	90	internal_26
52	41	Cell101001
53	40	Cell101000
54	91	internal_27
55	42	Cell101010
56	43	Cell101011
57	92	internal_28
58	93	internal_29
59	44	Cell101100
60	45	Cell101101
61	94	internal_30
62	46	Cell101110
63	47	Cell101111
64	95	internal_31
65	96	internal_32
66	97	internal_33
67	98	internal_34
68	4	Cell000100
69	5	Cell000101
70	99	internal_35
71	6	Cell000110
72	7	Cell000111
73	100	internal_36
74	101	internal_37
75	2	Cell000010
76	3	Cell000011
77	102	internal_38
78	1	Cell000001
79	0	Cell000000
80	103	internal_39
81	104	internal_40
82	105	internal_41
83	14	Cell001110
84	15	Cell001111
85	106	internal_42
86	12	Cell001100
87	13	Cell001101
88	107	internal_43
89	108	internal_44
90	9	Cell001001
91	8	Cell001000
92	109	internal_45
93	10	Cell001010
94	11	Cell001011
95	110	internal_46
96	111	internal_47
97	112	internal_48
98	113	internal_49
99	19	Cell010011
100	18	Cell010010
101	114	internal_50
102	16	Cell010000
103	17	Cell010001
104	115	internal_51
105	116	internal_52
106	22	Cell010110
107	23	Cell010111
108	117	internal_53
109	20	Cell010100
110	21	Cell010101
111	118	internal_54
112	119	internal_55
113	120	internal_56
114	25	Cell011001
115	24	Cell011000
116	121	internal_57
117	26	Cell011010
118	27	Cell011011
119	122	internal_58
120	123	internal_59
121	31	Cell011111
122	30	Cell011110
123	124	internal_60
124	28	Cell011100
125	29	Cell011101
