vertInd	nodeInd	vertName
0	-1	root
1	64	internal_0
2	65	internal_1
3	66	internal_2
4	67	internal_3
5	68	internal_4
6	55	Cell110111
7	54	Cell110110
8	69	internal_5
9	52	Cell110100
10	53	Cell110101
11	70	internal_6
12	71	internal_7
13	50	Cell110010
14	51	Cell110011
15	72	internal_8
16	48	Cell110000
17	49	Cell110001
18	73	internal_9
19	74	internal_10
20	75	internal_11
21	62	Cell111110
22	63	Cell111111
23	76	internal_12
24	61	Cell111101
25	60	Cell111100
26	77	internal_13
27	78	internal_14
28	59	Cell111011
29	58	Cell111010
30	79	internal_15
31	56	Cell111000
32	57	Cell111001
33	80	internal_16
34	81	internal_17
35	82	internal_18
36	83	internal_19
37	43	Cell101011
38	42	Cell101010
39	84	internal_20
40	41	Cell101001
41	40	Cell101000
42	85	internal_21
43	86	internal_22
44	46	Cell101110
45	47	Cell101111
46	87	internal_23
47	44	Cell101100
48	45	Cell101101
49	88	internal_24
50	89	internal_25
51	90	internal_26
52	39	Cell100111
53	38	Cell100110
54	91	internal_27
55	36	Cell100100
56	37	Cell100101
57	92	internal_28
58	93	internal_29
59	35	Cell100011
60	34	Cell100010
61	94	internal_30
62	32	Cell100000
63	33	Cell100001
64	95	internal_31
65	96	internal_32
66	97	internal_33
67	98	internal_34
68	15	Cell001111
69	14	Cell001110
70	99	internal_35
71	12	Cell001100
72	13	Cell001101
73	100	internal_36
74	101	internal_37
75	11	Cell001011
76	10	Cell001010
77	102	internal_38
78	9	Cell001001
79	8	Cell001000
80	103	internal_39
81	104	internal_40
82	105	internal_41
83	2	Cell000010
84	3	Cell000011
85	106	internal_42
86	1	Cell000001
87	0	Cell000000
88	107	internal_43
89	108	internal_44
90	4	Cell000100
91	5	Cell000101
92	109	internal_45
93	6	Cell000110
94	7	Cell000111
95	110	internal_46
96	111	internal_47
97	112	internal_48
98	113	internal_49
99	22	Cell010110
100	23	Cell010111
101	114	internal_50
102	20	Cell010100
103	21	Cell010101
104	115	internal_51
105	116	internal_52
106	16	Cell010000
107	17	Cell010001
108	117	internal_53
109	19	Cell010011
110	18	Cell010010
111	118	internal_54
112	119	internal_55
113	120	internal_56
114	26	Cell011010
115	27	Cell011011
116	121	internal_57
117	25	Cell011001
118	24	Cell011000
119	122	internal_58
120	123	internal_59
121	29	Cell011101
122	28	Cell011100
123	124	internal_60
124	31	Cell011111
125	30	Cell011110
