vertInd	nodeInd	vertName
0	-1	root
1	64	internal_0
2	65	internal_1
3	60	Cell111100
4	61	Cell111101
5	66	internal_2
6	62	Cell111110
7	63	Cell111111
8	67	internal_3
9	68	internal_4
10	69	internal_5
11	70	internal_6
12	71	internal_7
13	72	internal_8
14	73	internal_9
15	10	Cell001010
16	11	Cell001011
17	74	internal_10
18	8	Cell001000
19	9	Cell001001
20	75	internal_11
21	76	internal_12
22	14	Cell001110
23	15	Cell001111
24	77	internal_13
25	12	Cell001100
26	13	Cell001101
27	78	internal_14
28	79	internal_15
29	80	internal_16
30	2	Cell000010
31	3	Cell000011
32	81	internal_17
33	0	Cell000000
34	1	Cell000001
35	82	internal_18
36	83	internal_19
37	4	Cell000100
38	5	Cell000101
39	84	internal_20
40	6	Cell000110
41	7	Cell000111
42	85	internal_21
43	86	internal_22
44	87	internal_23
45	88	internal_24
46	20	Cell010100
47	21	Cell010101
48	89	internal_25
49	22	Cell010110
50	23	Cell010111
51	90	internal_26
52	91	internal_27
53	16	Cell010000
54	17	Cell010001
55	92	internal_28
56	18	Cell010010
57	19	Cell010011
58	93	internal_29
59	94	internal_30
60	95	internal_31
61	28	Cell011100
62	29	Cell011101
63	96	internal_32
64	30	Cell011110
65	31	Cell011111
66	97	internal_33
67	98	internal_34
68	24	Cell011000
69	25	Cell011001
70	99	internal_35
71	26	Cell011010
72	27	Cell011011
73	100	internal_36
74	101	internal_37
75	102	internal_38
76	103	internal_39
77	46	Cell101110
78	47	Cell101111
79	104	internal_40
80	44	Cell101100
81	45	Cell101101
82	105	internal_41
83	106	internal_42
84	42	Cell101010
85	43	Cell101011
86	107	internal_43
87	40	Cell101000
88	41	Cell101001
89	108	internal_44
90	109	internal_45
91	110	internal_46
92	36	Cell100100
93	37	Cell100101
94	111	internal_47
95	38	Cell100110
96	39	Cell100111
97	112	internal_48
98	113	internal_49
99	32	Cell100000
100	33	Cell100001
101	114	internal_50
102	34	Cell100010
103	35	Cell100011
104	115	internal_51
105	116	internal_52
106	117	internal_53
107	52	Cell110100
108	53	Cell110101
109	118	internal_54
110	54	Cell110110
111	55	Cell110111
112	119	internal_55
113	120	internal_56
114	48	Cell110000
115	49	Cell110001
116	121	internal_57
117	50	Cell110010
118	51	Cell110011
119	122	internal_58
120	123	internal_59
121	58	Cell111010
122	59	Cell111011
123	124	internal_60
124	56	Cell111000
125	57	Cell111001
