vertInd	nodeInd	vertName
0	-1	root
1	64	internal_0
2	14	Cell001110
3	15	Cell001111
4	65	internal_1
5	16	Cell010000
6	17	Cell010001
7	66	internal_2
8	18	Cell010010
9	19	Cell010011
10	67	internal_3
11	20	Cell010100
12	21	Cell010101
13	68	internal_4
14	24	Cell011000
15	25	Cell011001
16	69	internal_5
17	28	Cell011100
18	29	Cell011101
19	70	internal_6
20	30	Cell011110
21	31	Cell011111
22	71	internal_7
23	2	Cell000010
24	3	Cell000011
25	72	internal_8
26	32	Cell100000
27	33	Cell100001
28	73	internal_9
29	34	Cell100010
30	35	Cell100011
31	74	internal_10
32	36	Cell100100
33	37	Cell100101
34	75	internal_11
35	4	Cell000100
36	5	Cell000101
37	76	internal_12
38	46	Cell101110
39	47	Cell101111
40	77	internal_13
41	48	Cell110000
42	49	Cell110001
43	78	internal_14
44	52	Cell110100
45	53	Cell110101
46	79	internal_15
47	54	Cell110110
48	55	Cell110111
49	80	internal_16
50	58	Cell111010
51	59	Cell111011
52	81	internal_17
53	60	Cell111100
54	61	Cell111101
55	82	internal_18
56	6	Cell000110
57	7	Cell000111
58	83	internal_19
59	62	Cell111110
60	63	Cell111111
61	84	internal_20
62	10	Cell001010
63	11	Cell001011
64	0	Cell000000
65	1	Cell000001
66	8	Cell001000
67	9	Cell001001
68	12	Cell001100
69	13	Cell001101
70	22	Cell010110
71	23	Cell010111
72	26	Cell011010
73	27	Cell011011
74	38	Cell100110
75	39	Cell100111
76	40	Cell101000
77	41	Cell101001
78	42	Cell101010
79	43	Cell101011
80	44	Cell101100
81	45	Cell101101
82	50	Cell110010
83	51	Cell110011
84	56	Cell111000
85	57	Cell111001
